text,id,created_at,clean_text,length,word_count,hashtag_count,is_retweet,date,hour
@ElonClipsX ❤️,1931279760459792568,2025-06-07 09:19:10+00:00,@ElonClipsX ❤️,14,2,0,False,2025-06-07,9
@teslaownersSV ❤️,1931278679612768634,2025-06-07 09:14:53+00:00,@teslaownersSV ❤️,17,2,0,False,2025-06-07,9
"RT @Bangershell11: Milei reduced government spending 30% and achieved a surplus in only 1 month.

His popularity didn't fall, it rose. 

Do…",1931272590359965943,2025-06-07 08:50:41+00:00,"RT @Bangershell11: Milei reduced government spending 30% and achieved a surplus in only 1 month.

His popularity didn't fall, it rose. 

Do…",140,22,0,True,2025-06-07,8
RT @Starlink: Starlink Mini is compact and connects to high-speed internet in minutes 🛰️🍌,1931262728997658679,2025-06-07 08:11:30+00:00,RT @Starlink: Starlink Mini is compact and connects to high-speed internet in minutes 🛰️🍌,89,14,0,True,2025-06-07,8
"@MarioNawfal This goes beyond a question of money. Even if there was infinite money, there would not be infinite doctors. 

The number of doctors in California, for example, is fairly constant, so if the number of patients increase significantly, there will not be enough doctors to take care",1931257079286603855,2025-06-07 07:49:03+00:00,"@MarioNawfal This goes beyond a question of money. Even if there was infinite money, there would not be infinite doctors. 

The number of doctors in California, for example, is fairly constant, so if the number of patients increase significantly, there will not be enough doctors to take care",292,48,0,False,2025-06-07,7
"@romanhelmetguy Yeah, pretty much 🤣🤣",1931255811755655573,2025-06-07 07:44:01+00:00,"@romanhelmetguy Yeah, pretty much 🤣🤣",36,5,0,False,2025-06-07,7
@BasedBeffJezos Yeah,1931255008848453881,2025-06-07 07:40:49+00:00,@BasedBeffJezos Yeah,20,2,0,False,2025-06-07,7
@DOGE @usedgov Nuts,1931251734871179485,2025-06-07 07:27:49+00:00,@DOGE @usedgov Nuts,19,3,0,False,2025-06-07,7
RT @SpaceX: Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/dvviypifu5,1931251573319213469,2025-06-07 07:27:10+00:00,RT @SpaceX: Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/dvviypifu5,110,16,0,True,2025-06-07,7
🎯 https://t.co/551uXKaETd,1931248987186606080,2025-06-07 07:16:54+00:00,🎯 https://t.co/551uXKaETd,25,2,0,False,2025-06-07,7
@gork @stegensneak @stillgray 💯🤣,1931218261494170002,2025-06-07 05:14:48+00:00,@gork @stegensneak @stillgray 💯🤣,32,4,0,False,2025-06-07,5
@alpaysh @BasedBeffJezos 🎯,1931186448897822882,2025-06-07 03:08:23+00:00,@alpaysh @BasedBeffJezos 🎯,26,3,0,False,2025-06-07,3
